DATE,NAME_0,N,SCORE
2018-01-01,Argentina,12618,0.6905418273101919
2018-01-01,Bolivia,216,0.6809862129629629
2018-01-01,Brazil,44099,0.6873398935803533
2018-01-01,Chile,7842,0.6723444345830145
2018-01-01,Colombia,6299,0.7116718866486743
2018-01-01,Ecuador,2297,0.716218406617327
2018-01-01,Paraguay,1046,0.6941446797323134
2018-01-01,Peru,1841,0.6990607208039109
2018-01-01,Uruguay,1228,0.6957196327361564
2018-01-01,Venezuela,2956,0.731862152909337
2018-01-02,Argentina,4539,0.6612729189248734
2018-01-02,Bolivia,68,0.6780693529411765
2018-01-02,Brazil,14774,0.632816250846081
2018-01-02,Chile,2633,0.6124287903532093
2018-01-02,Colombia,1883,0.6722539787573021
2018-01-02,Ecuador,657,0.6959123805175038
2018-01-02,Paraguay,475,0.6250241305263158
2018-01-02,Peru,735,0.6699470163265305
2018-01-02,Uruguay,350,0.6838105657142857
2018-01-02,Venezuela,803,0.680777701120797
2018-01-03,Argentina,82,0.6626533536585366
2018-01-03,Bolivia,3,0.7053626666666667
2018-01-03,Brazil,421,0.5904764703087886
2018-01-03,Chile,78,0.5758169358974359
2018-01-03,Colombia,83,0.6535896987951807
2018-01-03,Ecuador,16,0.7015733125
2018-01-03,Paraguay,12,0.5295118333333333
2018-01-03,Peru,21,0.7140035238095238
2018-01-03,Uruguay,5,0.692007
2018-01-03,Venezuela,33,0.5791324242424243
2018-01-04,Argentina,97,0.6097762164948453
2018-01-04,Bolivia,2,0.8425210000000001
2018-01-04,Brazil,419,0.589123355608592
2018-01-04,Chile,72,0.5712759444444444
2018-01-04,Colombia,106,0.631920716981132
2018-01-04,Ecuador,16,0.6598854375000001
2018-01-04,Paraguay,10,0.5519988999999998
2018-01-04,Peru,17,0.6488335294117648
2018-01-04,Uruguay,9,0.6536876666666667
2018-01-04,Venezuela,27,0.6706674074074074
2018-01-05,Argentina,3304,0.6330700971549637
2018-01-05,Bolivia,74,0.6217906756756757
2018-01-05,Brazil,19504,0.6105966509946678
2018-01-05,Chile,3333,0.6170807797779778
2018-01-05,Colombia,2292,0.6565578987783595
2018-01-05,Ecuador,580,0.6684799051724138
2018-01-05,Paraguay,677,0.5986172850812407
2018-01-05,Peru,806,0.6233412506203473
2018-01-05,Uruguay,431,0.6699360348027841
2018-01-05,Venezuela,1086,0.671372244014733
2018-01-06,Argentina,6124,0.6430010080013063
2018-01-06,Bolivia,160,0.64826613125
2018-01-06,Brazil,27802,0.6188952348392203
2018-01-06,Chile,6035,0.6155544187241094
2018-01-06,Colombia,3899,0.6642073195691203
2018-01-06,Ecuador,1102,0.6700743575317604
2018-01-06,Paraguay,957,0.6132648610240335
2018-01-06,Peru,1541,0.6341046197274497
2018-01-06,Uruguay,732,0.6747935983606558
2018-01-06,Venezuela,1828,0.6564108380743982
2018-01-07,Argentina,6840,0.638611026754386
2018-01-07,Bolivia,136,0.6313933455882353
2018-01-07,Brazil,28357,0.6242719570829073
2018-01-07,Chile,5429,0.6339823293424203
2018-01-07,Colombia,4003,0.6615160704471647
2018-01-07,Ecuador,1285,0.6704627229571984
2018-01-07,Paraguay,1009,0.6190124479682855
2018-01-07,Peru,1432,0.6444018575418994
2018-01-07,Uruguay,854,0.6598810351288056
2018-01-07,Venezuela,1559,0.6569635291853753
2018-01-08,Argentina,6737,0.635065070654594
2018-01-08,Bolivia,134,0.6442643656716418
2018-01-08,Brazil,26031,0.6137145711267334
2018-01-08,Chile,5244,0.6011700310831426
2018-01-08,Colombia,3827,0.6649707326887901
2018-01-08,Ecuador,1036,0.6704117741312742
2018-01-08,Paraguay,986,0.6073586409736309
2018-01-08,Peru,1162,0.630373112736661
2018-01-08,Uruguay,793,0.6477194035308953
2018-01-08,Venezuela,1759,0.6668584059124503
2018-01-09,Argentina,6053,0.6300308217412853
2018-01-09,Bolivia,130,0.6334215615384615
2018-01-09,Brazil,25354,0.6107606889248245
2018-01-09,Chile,4872,0.6143894226190476
2018-01-09,Colombia,3471,0.6630190288101411
2018-01-09,Ecuador,994,0.6837996800804829
2018-01-09,Paraguay,885,0.5892701129943503
2018-01-09,Peru,1161,0.6358283867355728
2018-01-09,Uruguay,675,0.6634175777777778
2018-01-09,Venezuela,1588,0.6568706108312342
2018-01-10,Argentina,5454,0.6332760445544554
2018-01-10,Bolivia,178,0.7189591460674157
2018-01-10,Brazil,24070,0.6112787968425426
2018-01-10,Chile,4605,0.6201508725298589
2018-01-10,Colombia,3175,0.6657237269291337
2018-01-10,Ecuador,1006,0.6636781739562624
2018-01-10,Paraguay,778,0.5999298637532133
2018-01-10,Peru,1118,0.6348385161001789
2018-01-10,Uruguay,727,0.664724257221458
2018-01-10,Venezuela,1555,0.6603670180064308
2018-01-11,Argentina,5895,0.6281661497879558
2018-01-11,Bolivia,143,0.6637644475524477
2018-01-11,Brazil,26805,0.6099652740533482
2018-01-11,Chile,4902,0.6300212076703386
2018-01-11,Colombia,3420,0.6677848295321638
2018-01-11,Ecuador,1085,0.6725080599078342
2018-01-11,Paraguay,862,0.5983945986078887
2018-01-11,Peru,1243,0.6311207272727273
2018-01-11,Uruguay,733,0.6686768908594817
2018-01-11,Venezuela,1707,0.6607978904510838
2018-01-12,Argentina,6286,0.6318959748647789
2018-01-12,Bolivia,204,0.6486387401960785
2018-01-12,Brazil,29223,0.6134946982855969
2018-01-12,Chile,5876,0.6068695032334922
2018-01-12,Colombia,3682,0.6640669712112982
2018-01-12,Ecuador,1257,0.6771308989657916
2018-01-12,Paraguay,959,0.6027099728884254
2018-01-12,Peru,1457,0.6277229718599863
2018-01-12,Uruguay,833,0.6414391140456182
2018-01-12,Venezuela,1745,0.6623735489971347
2018-01-13,Argentina,7267,0.6343686729049126
2018-01-13,Bolivia,209,0.6334224210526316
2018-01-13,Brazil,34907,0.6190183386713266
2018-01-13,Chile,6204,0.6376179018375241
2018-01-13,Colombia,4264,0.6604712570356472
2018-01-13,Ecuador,1395,0.6795470028673836
2018-01-13,Paraguay,1200,0.60216689
2018-01-13,Peru,1617,0.6272226239950526
2018-01-13,Uruguay,951,0.6519096771819137
2018-01-13,Venezuela,2058,0.6571615485908648
2018-01-14,Argentina,8299,0.6362210204843958
2018-01-14,Bolivia,162,0.6589008271604938
2018-01-14,Brazil,37747,0.6253083078920179
2018-01-14,Chile,6743,0.635391588165505
2018-01-14,Colombia,4565,0.6619218223439212
2018-01-14,Ecuador,1513,0.658246313945803
2018-01-14,Paraguay,1094,0.6034664213893968
