DATE,NAME_0,N,SCORE
2020-01-01,Argentina,93955,0.6050485597254005
2020-01-01,Bolivia,1065,0.6654117737089201
2020-01-01,Brazil,507404,0.5731812255993252
2020-01-01,Chile,28006,0.6460335074269798
2020-01-01,Colombia,43396,0.6438408773619688
2020-01-01,Ecuador,6660,0.6755621857357358
2020-01-01,Paraguay,7121,0.6461271122033422
2020-01-01,Peru,9044,0.6554967971030518
2020-01-01,Uruguay,13088,0.619991302108802
2020-01-01,Venezuela,8807,0.6741660085159532
2020-01-02,Argentina,79723,0.5601687603702821
2020-01-02,Bolivia,848,0.6173280801886791
2020-01-02,Brazil,520392,0.5427778178257928
2020-01-02,Chile,22032,0.5969279600580973
2020-01-02,Colombia,31713,0.601374674076877
2020-01-02,Ecuador,5598,0.6081766475526974
2020-01-02,Paraguay,6800,0.5905464494117647
2020-01-02,Peru,7616,0.6048143873424371
2020-01-02,Uruguay,10459,0.5657658225451764
2020-01-02,Venezuela,6969,0.6118986933562921
2020-01-03,Argentina,79619,0.5522922784260039
2020-01-03,Bolivia,979,0.620594493360572
2020-01-03,Brazil,575257,0.5370772767180583
2020-01-03,Chile,21546,0.5872263713450292
2020-01-03,Colombia,33577,0.5913006622390327
2020-01-03,Ecuador,5199,0.6080403664166186
2020-01-03,Paraguay,6777,0.5817143150361517
2020-01-03,Peru,7714,0.5881749451646356
2020-01-03,Uruguay,10454,0.555333861201454
2020-01-03,Venezuela,6859,0.5958775216503863
2020-01-04,Argentina,82076,0.5535001225571422
2020-01-04,Bolivia,1298,0.5855747010785826
2020-01-04,Brazil,575413,0.5322859844129347
2020-01-04,Chile,26248,0.5771937485522707
2020-01-04,Colombia,38939,0.5892015095662447
2020-01-04,Ecuador,5782,0.6029483199584919
2020-01-04,Paraguay,7206,0.5773412893422148
2020-01-04,Peru,8544,0.5858585348782772
2020-01-04,Uruguay,10378,0.559707484679129
2020-01-04,Venezuela,8332,0.5974630782525204
2020-01-05,Argentina,78825,0.552331856276562
2020-01-05,Bolivia,1123,0.6108960534283171
2020-01-05,Brazil,560701,0.5363595175699704
2020-01-05,Chile,24047,0.586504195284235
2020-01-05,Colombia,37250,0.5904478968322148
2020-01-05,Ecuador,5605,0.603818937734166
2020-01-05,Paraguay,6626,0.5752488036522789
2020-01-05,Peru,8454,0.5864951117814052
2020-01-05,Uruguay,10353,0.562959317395924
2020-01-05,Venezuela,11359,0.581298957830795
2020-01-06,Argentina,94135,0.5541931848196738
2020-01-06,Bolivia,1260,0.6078019801587301
2020-01-06,Brazil,640738,0.5338883293795592
2020-01-06,Chile,28223,0.580890438791057
2020-01-06,Colombia,39216,0.5938951412178702
2020-01-06,Ecuador,6464,0.6111144967512377
2020-01-06,Paraguay,8977,0.5777182330399911
2020-01-06,Peru,9729,0.5893343092815295
2020-01-06,Uruguay,12015,0.5649527434873076
2020-01-06,Venezuela,10794,0.5986840552158607
2020-01-07,Argentina,94024,0.5548457744937463
2020-01-07,Bolivia,1277,0.5912596711041503
2020-01-07,Brazil,644028,0.5327142398265293
2020-01-07,Chile,31123,0.5788099443819683
2020-01-07,Colombia,42071,0.5846046277483302
2020-01-07,Ecuador,6124,0.6073064059438276
2020-01-07,Paraguay,8188,0.5828970923302393
2020-01-07,Peru,9681,0.5777973601900631
2020-01-07,Uruguay,11734,0.5541849934378728
2020-01-07,Venezuela,10773,0.6035191276338996
2020-01-08,Argentina,97657,0.551359304432862
2020-01-08,Bolivia,1384,0.6034553619942197
2020-01-08,Brazil,639254,0.5325281480350533
2020-01-08,Chile,28280,0.583042796251768
2020-01-08,Colombia,42322,0.5826064552006048
2020-01-08,Ecuador,6642,0.6061137112315568
2020-01-08,Paraguay,8671,0.5805117995617576
2020-01-08,Peru,9838,0.5813347241309208
2020-01-08,Uruguay,11592,0.5510896827984817
2020-01-08,Venezuela,10726,0.5984100520231214
2020-01-09,Argentina,94785,0.5501363045840587
2020-01-09,Bolivia,1422,0.5896595464135022
2020-01-09,Brazil,633013,0.5359685191520553
2020-01-09,Chile,29080,0.5882244468707015
2020-01-09,Colombia,43194,0.5832473653053665
2020-01-09,Ecuador,6945,0.6074508722822174
2020-01-09,Paraguay,8922,0.5729249555032504
2020-01-09,Peru,9655,0.5810021266701191
2020-01-09,Uruguay,12554,0.5507025074876534
2020-01-09,Venezuela,9833,0.5949940951896674
2020-01-10,Argentina,97195,0.5522465425587736
2020-01-10,Bolivia,1358,0.6073339197349041
2020-01-10,Brazil,626204,0.5355100895155572
2020-01-10,Chile,28444,0.592791719343271
2020-01-10,Colombia,47822,0.5778289782108653
2020-01-10,Ecuador,6514,0.6149163959164876
2020-01-10,Paraguay,8659,0.5720938561034762
2020-01-10,Peru,10142,0.5821144018931177
2020-01-10,Uruguay,12033,0.5572607477769468
2020-01-10,Venezuela,9996,0.5981396165466186
2020-01-11,Argentina,87495,0.554435233339048
2020-01-11,Bolivia,1391,0.5915536319194825
2020-01-11,Brazil,559554,0.5303942740396816
2020-01-11,Chile,27374,0.5947783344414408
2020-01-11,Colombia,44258,0.5774765296895477
2020-01-11,Ecuador,5815,0.613383856749785
2020-01-11,Paraguay,7971,0.5767942096349267
2020-01-11,Peru,9119,0.589571103629784
2020-01-11,Uruguay,11771,0.5610867263613967
2020-01-11,Venezuela,9531,0.5956941100619033
2020-01-12,Argentina,79900,0.553722802290363
2020-01-12,Bolivia,1178,0.5981064813242786
2020-01-12,Brazil,521085,0.5348906084151338
2020-01-12,Chile,24232,0.592726663709145
2020-01-12,Colombia,39794,0.5812580572448108
2020-01-12,Ecuador,5357,0.6011434442785142
2020-01-12,Paraguay,6685,0.5790914242333582
2020-01-12,Peru,8218,0.5908932036991968
2020-01-12,Uruguay,11381,0.565835369651173
2020-01-12,Venezuela,9110,0.599423744895719
2020-01-13,Argentina,93570,0.549638129122582
2020-01-13,Bolivia,1283,0.5881139399844113
2020-01-13,Brazil,606848,0.531862866544835
2020-01-13,Chile,26575,0.5935501290686735
2020-01-13,Colombia,43883,0.5778692159150468
2020-01-13,Ecuador,5852,0.6151810977443609
2020-01-13,Paraguay,8600,0.5801592975581396
2020-01-13,Peru,9962,0.5933117702268619
2020-01-13,Uruguay,11347,0.5606356167268881
2020-01-13,Venezuela,8821,0.6087535244303368
2020-01-14,Argentina,99529,0.547801911473038
2020-01-14,Bolivia,1327,0.5817955350414468
2020-01-14,Brazil,612743,0.5371293931697302
2020-01-14,Chile,27653,0.5959217910895743
2020-01-14,Colombia,43030,0.5780938839414362
2020-01-14,Ecuador,6756,0.6122838075784488
2020-01-14,Paraguay,9469,0.578185729538494
2020-01-14,Peru,10089,0.587341876102686
2020-01-14,Uruguay,12538,0.55782237079279
2020-01-14,Venezuela,9787,0.6062534887095126
2020-01-15,Argentina,100383,0.5459593013856928
2020-01-15,Bolivia,1338,0.599165763826607
2020-01-15,Brazil,597049,0.5359414352590827
2020-01-15,Chile,28972,0.5965691088292144
2020-01-15,Colombia,42077,0.5790551163343394
2020-01-15,Ecuador,6247,0.6114201927325117
2020-01-15,Paraguay,8938,0.5786633965092861
2020-01-15,Peru,10459,0.5805254805430728
2020-01-15,Uruguay,14116,0.551201889274582
2020-01-15,Venezuela,9888,0.6052031438106796
2020-01-16,Argentina,96615,0.5534631306318895
2020-01-16,Bolivia,1213,0.605284208573784
2020-01-16,Brazil,623776,0.5335318705080029
2020-01-16,Chile,29503,0.5861270973460325
2020-01-16,Colombia,46480,0.5808211455464716
2020-01-16,Ecuador,6193,0.6144019588244792
2020-01-16,Paraguay,9368,0.5775264584756618
2020-01-16,Peru,10607,0.5784740210238521
2020-01-16,Uruguay,13147,0.5564780234273979
2020-01-16,Venezuela,9329,0.6021199488691178
2020-01-17,Argentina,95129,0.5594312820696108
2020-01-17,Bolivia,1394,0.6096255674318506
2020-01-17,Brazil,645321,0.5342056303018188
2020-01-17,Chile,27748,0.5901172136730575
2020-01-17,Colombia,44816,0.5782437932657979
2020-01-17,Ecuador,6496,0.6147366322352217
2020-01-17,Paraguay,8885,0.586837237478897
2020-01-17,Peru,10661,0.5891404629021667
2020-01-17,Uruguay,12616,0.563084916296766
2020-01-17,Venezuela,9486,0.6049029873497785
2020-01-18,Argentina,86835,0.5601552104220648
2020-01-18,Bolivia,1361,0.5987541462160175
2020-01-18,Brazil,546152,0.5358279984454877
2020-01-18,Chile,27583,0.5937304086937606
2020-01-18,Colombia,40562,0.5808247860805681
2020-01-18,Ecuador,5948,0.6106347590786818
2020-01-18,Paraguay,7872,0.5829838025914633
2020-01-18,Peru,9943,0.5885285575781958
2020-01-18,Uruguay,11725,0.5622732825586354
