DATE,NAME_0,N,SCORE
2021-01-01,Argentina,67323,0.6170747723957637
2021-01-01,Bolivia,696,0.6380495589080459
2021-01-01,Brazil,381546,0.5815127937312932
2021-01-01,Chile,20584,0.645175999076953
2021-01-01,Colombia,34884,0.6360163441405803
2021-01-01,Ecuador,6777,0.6698318843145935
2021-01-01,Paraguay,6466,0.6537958184348902
2021-01-01,Peru,9144,0.6435336295931761
2021-01-01,Uruguay,12302,0.631983856283531
2021-01-01,Venezuela,10846,0.6853025367877559
2021-01-02,Argentina,60981,0.56960810565586
2021-01-02,Bolivia,638,0.6133744639498433
2021-01-02,Brazil,361208,0.5413396468046112
2021-01-02,Chile,17887,0.5927558979146866
2021-01-02,Colombia,27622,0.5852095897110998
2021-01-02,Ecuador,5462,0.6091392623581107
2021-01-02,Paraguay,5572,0.5897172544867193
2021-01-02,Peru,7195,0.5913269961084087
2021-01-02,Uruguay,10254,0.5729498133411352
2021-01-02,Venezuela,9306,0.6268424444444444
2021-01-03,Argentina,71999,0.5500408443728385
2021-01-03,Bolivia,753,0.593933432934927
2021-01-03,Brazil,381494,0.5345541383822551
2021-01-03,Chile,20714,0.5927129741237811
2021-01-03,Colombia,31015,0.5710646620989843
2021-01-03,Ecuador,5872,0.5934386423705723
2021-01-03,Paraguay,5870,0.5763648097103917
2021-01-03,Peru,7865,0.589654070820089
2021-01-03,Uruguay,10705,0.5680752439047175
2021-01-03,Venezuela,10484,0.6228813245898511
2021-01-04,Argentina,70610,0.5478582074068828
2021-01-04,Bolivia,793,0.5870985233291298
2021-01-04,Brazil,406918,0.5297820079328022
2021-01-04,Chile,20000,0.58388616505
2021-01-04,Colombia,34172,0.5608374545826993
2021-01-04,Ecuador,5849,0.5985830324841853
2021-01-04,Paraguay,6965,0.5679898055994258
2021-01-04,Peru,7511,0.5784298403674611
2021-01-04,Uruguay,11428,0.5670771123556178
2021-01-04,Venezuela,11794,0.6073324780396813
2021-01-05,Argentina,78537,0.5507040162853177
2021-01-05,Bolivia,782,0.5677725358056267
2021-01-05,Brazil,429374,0.5294565963029899
2021-01-05,Chile,20680,0.592157331769826
2021-01-05,Colombia,33858,0.5723275004725619
