DATE,NAME_0,N,SCORE
2022-01-12,Ecuador,4627,0.6066085740220446
2022-01-12,Paraguay,4912,0.5803007031758958
2022-01-12,Peru,6611,0.5856805242777189
2022-01-12,Uruguay,8543,0.5887953808966405
2022-01-12,Venezuela,9627,0.6285695168796095
2022-01-13,Argentina,53761,0.5665336998195718
2022-01-13,Bolivia,659,0.6363554446130499
2022-01-13,Brazil,220128,0.5492689326482774
2022-01-13,Chile,16248,0.6048889330994583
2022-01-13,Colombia,26087,0.5897682061946563
2022-01-13,Ecuador,4227,0.5954241689141235
2022-01-13,Paraguay,4865,0.5864491662898254
2022-01-13,Peru,6060,0.5807168173267326
2022-01-13,Uruguay,8723,0.588735443196148
2022-01-13,Venezuela,9745,0.6316519713699333
2022-01-14,Argentina,56786,0.5666905974359877
2022-01-14,Bolivia,643,0.6301992737169516
2022-01-14,Brazil,260098,0.5572580880360479
2022-01-14,Chile,16316,0.6183036211081148
2022-01-14,Colombia,26174,0.5869247930006877
2022-01-14,Ecuador,4228,0.6001730683538316
2022-01-14,Paraguay,5012,0.586600054868316
2022-01-14,Peru,6837,0.5934126937253182
2022-01-14,Uruguay,9293,0.5826439734208544
2022-01-14,Venezuela,9639,0.6334714312688038
2022-01-15,Argentina,55210,0.56284700224597
2022-01-15,Bolivia,644,0.6184416956521739
2022-01-15,Brazil,218682,0.5542031968291857
2022-01-15,Chile,18536,0.6055410301035822
2022-01-15,Colombia,24847,0.5908492688050871
2022-01-15,Ecuador,4228,0.6016695967360454
2022-01-15,Paraguay,4499,0.5880428544120916
2022-01-15,Peru,6241,0.5921383786252205
2022-01-15,Uruguay,9673,0.5765388697405147
2022-01-15,Venezuela,9027,0.638433777223884
2022-01-16,Argentina,51217,0.5608883721030127
2022-01-16,Bolivia,600,0.6324989983333333
2022-01-16,Brazil,210095,0.5527295204978699
2022-01-16,Chile,16073,0.6090099521557892
2022-01-16,Colombia,23520,0.5915920909438775
2022-01-16,Ecuador,4147,0.6071119399565951
2022-01-16,Paraguay,4500,0.5803486595555556
2022-01-16,Peru,6849,0.5869299420353337
2022-01-16,Uruguay,8243,0.5802137982530633
2022-01-16,Venezuela,9176,0.625829310592851
2022-01-17,Argentina,55853,0.5651535805417793
2022-01-17,Bolivia,714,0.6634021736694679
2022-01-17,Brazil,226231,0.5485710178711141
2022-01-17,Chile,16966,0.6055815976659201
2022-01-17,Colombia,25088,0.5878075120774872
2022-01-17,Ecuador,4242,0.6035764521452145
2022-01-17,Paraguay,5439,0.5756769132193419
2022-01-17,Peru,6219,0.5869401899019134
2022-01-17,Uruguay,10420,0.5652216310940499
2022-01-17,Venezuela,9504,0.6225637920875421
2022-01-18,Argentina,58299,0.5691773772620458
2022-01-18,Bolivia,824,0.6580015315533982
2022-01-18,Brazil,314705,0.554597885206781
2022-01-18,Chile,17391,0.604894577827612
2022-01-18,Colombia,26362,0.586072159547834
2022-01-18,Ecuador,4497,0.5943011187458306
2022-01-18,Paraguay,5744,0.566888836873259
2022-01-18,Peru,6596,0.5820358573377806
2022-01-18,Uruguay,9842,0.5777619782564519
2022-01-18,Venezuela,9513,0.6161130056764428
2022-01-19,Argentina,56185,0.5665600742724927
2022-01-19,Bolivia,848,0.6347835955188679
2022-01-19,Brazil,260801,0.5495385506458949
2022-01-19,Chile,17070,0.6090152506151141
2022-01-19,Colombia,28593,0.5889144116042389
2022-01-19,Ecuador,5386,0.5975191875232084
2022-01-19,Paraguay,5586,0.5829200186179735
2022-01-19,Peru,7293,0.5709573597970656
2022-01-19,Uruguay,9207,0.5843716768762899
2022-01-19,Venezuela,9465,0.6258735497094559
2022-01-20,Argentina,53681,0.5642061331197258
2022-01-20,Bolivia,635,0.5978292960629921
