DATE,NAME_0,N,SCORE
2023-01-01,Argentina,127742,0.6189849867467239
2023-01-01,Bolivia,4214,0.6139665809207404
2023-01-01,Brazil,953329,0.6019984513824713
2023-01-01,Chile,49505,0.6814919097464903
2023-01-01,Colombia,72830,0.628702620884251
2023-01-01,Ecuador,30734,0.6647799877009176
2023-01-01,Paraguay,16352,0.677695395731409
2023-01-01,Peru,38447,0.671978173251489
2023-01-01,Uruguay,28298,0.6453097906919217
2023-01-01,Venezuela,22829,0.6942473750054754
2023-01-02,Argentina,80893,0.5754841843175552
2023-01-02,Bolivia,2248,0.6096194599644127
2023-01-02,Brazil,640526,0.5458752512357031
2023-01-02,Chile,24531,0.6190121068851657
2023-01-02,Colombia,55369,0.5920096417851144
2023-01-02,Ecuador,5918,0.647509344373099
2023-01-02,Paraguay,11612,0.6185933784016535
2023-01-02,Peru,14977,0.5975372946517994
2023-01-02,Uruguay,20432,0.5855466689996084
2023-01-02,Venezuela,11628,0.6409655712074304
2023-01-03,Argentina,45790,0.5719286319938851
2023-01-03,Bolivia,839,0.5646020143027414
2023-01-03,Brazil,354882,0.5488372022644147
2023-01-03,Chile,13866,0.6021972113803548
2023-01-03,Colombia,107416,0.5555255169155433
2023-01-03,Ecuador,12380,0.5862154269789983
2023-01-03,Paraguay,4257,0.5715580542635659
2023-01-03,Peru,7502,0.5916492376699547
2023-01-03,Uruguay,6517,0.5759016088691116
2023-01-03,Venezuela,19549,0.6361736448923219
2023-01-04,Argentina,101308,0.5613157136553876
2023-01-04,Bolivia,1679,0.5792316825491364
2023-01-04,Brazil,809462,0.5529128357044555
2023-01-04,Chile,26387,0.5908347199378482
2023-01-04,Colombia,91221,0.5722673958518324
2023-01-04,Ecuador,16924,0.5997032815528244
2023-01-04,Paraguay,9896,0.5861069012732417
2023-01-04,Peru,14961,0.5805254501036028
2023-01-04,Uruguay,12419,0.5709391540381673
2023-01-04,Venezuela,11103,0.6330175557957309
2023-01-05,Argentina,44652,0.5731721973931739
2023-01-05,Bolivia,858,0.5947733869463869
2023-01-05,Brazil,229861,0.5459390438786919
2023-01-05,Chile,14590,0.5980883986291979
2023-01-05,Colombia,61182,0.5762658169559675
2023-01-05,Ecuador,5313,0.6095116715603237
2023-01-05,Paraguay,3847,0.591590647777489
2023-01-05,Peru,6910,0.5967711259044862
2023-01-05,Uruguay,6541,0.5774389067420883
2023-01-05,Venezuela,14849,0.6439771700451209
2023-01-06,Argentina,122559,0.5730002338139182
2023-01-06,Bolivia,1504,0.5918098670212765
2023-01-06,Brazil,809497,0.5597005385072459
2023-01-06,Chile,32084,0.6144834285625234
2023-01-06,Colombia,141688,0.5808035945598781
2023-01-06,Ecuador,16537,0.6201741323093669
2023-01-06,Paraguay,10843,0.5934428596329429
2023-01-06,Peru,13135,0.5844661064331937
2023-01-06,Uruguay,13436,0.5804759376302472
2023-01-06,Venezuela,30242,0.6414860690430527
2023-01-07,Argentina,120809,0.5733500464203826
2023-01-07,Bolivia,1267,0.5708820347277033
2023-01-07,Brazil,707409,0.5537816352506117
2023-01-07,Chile,27986,0.607075876867005
2023-01-07,Colombia,91592,0.5840572949165866
2023-01-07,Ecuador,14622,0.599299997127616
2023-01-07,Paraguay,10974,0.6003283383451795
2023-01-07,Peru,19349,0.5808253172773786
2023-01-07,Uruguay,11791,0.572249697905182
2023-01-07,Venezuela,10399,0.6418556445812098
2023-01-08,Argentina,108479,0.5651741399256999
2023-01-08,Bolivia,1284,0.6079745132398753
2023-01-08,Brazil,794185,0.5470739878076267
2023-01-08,Chile,30781,0.6075872422273481
2023-01-08,Colombia,108636,0.5701226479620015
2023-01-08,Ecuador,11612,0.5982960458146744
2023-01-08,Paraguay,10390,0.6023231389797883
2023-01-08,Peru,26278,0.5928536159525079
2023-01-08,Uruguay,12921,0.5605160558006346
2023-01-08,Venezuela,13920,0.644470932183908
2023-01-09,Argentina,119542,0.5618898518512322
2023-01-09,Bolivia,1484,0.5803605599730458
2023-01-09,Brazil,793128,0.5313035342781997
2023-01-09,Chile,33726,0.5999968308723239
2023-01-09,Colombia,143509,0.5812126973918011
2023-01-09,Ecuador,12412,0.6070018932484692
2023-01-09,Paraguay,10659,0.5990515978984896
2023-01-09,Peru,21808,0.5846568584464417
2023-01-09,Uruguay,14062,0.5885005081780685
2023-01-09,Venezuela,43420,0.5990007864117918
2023-01-10,Argentina,116255,0.5580497384370565
2023-01-10,Bolivia,2096,0.5844367972328244
2023-01-10,Brazil,832102,0.5412777092339641
2023-01-10,Chile,26713,0.6096704859431737
2023-01-10,Colombia,176370,0.5820408965186823
2023-01-10,Ecuador,17277,0.6137348910111708
2023-01-10,Paraguay,9509,0.5799209127142707
2023-01-10,Peru,32698,0.5520457237445717
2023-01-10,Uruguay,12672,0.5625230634469697
2023-01-10,Venezuela,40081,0.6218738165963923
2023-01-11,Argentina,102354,0.5621646406588897
2023-01-11,Bolivia,2115,0.5748932293144208
2023-01-11,Brazil,923169,0.5538624703071702
2023-01-11,Chile,24577,0.602608345526305
2023-01-11,Colombia,267621,0.5741071633279899
2023-01-11,Ecuador,23277,0.6131115863298535
2023-01-11,Paraguay,9905,0.589084787279152
2023-01-11,Peru,28407,0.5876498996726159
2023-01-11,Uruguay,12946,0.5660145537617797
2023-01-11,Venezuela,42490,0.6515631696869851
2023-01-12,Argentina,126468,0.5691846905778537
2023-01-12,Bolivia,2084,0.6056083838771593
2023-01-12,Brazil,368676,0.5455601756989877
2023-01-12,Chile,28876,0.6157058052015515
2023-01-12,Colombia,69929,0.5980971769080068
2023-01-12,Ecuador,10734,0.6019913805664245
2023-01-12,Paraguay,10664,0.5967044342648162
2023-01-12,Peru,13863,0.5813541439082449
2023-01-12,Uruguay,16206,0.5851003606071825
2023-01-12,Venezuela,22957,0.6431798449710328
2023-01-13,Argentina,98961,0.5738287374016027
2023-01-13,Bolivia,2906,0.615144239160358
2023-01-13,Brazil,477233,0.5568638809805693
2023-01-13,Chile,22269,0.6022916574161391
2023-01-13,Colombia,61065,0.5637573245721772
2023-01-13,Ecuador,9432,0.578677356764207
2023-01-13,Paraguay,12481,0.5806319454370643
2023-01-13,Peru,13808,0.5709708292294322
2023-01-13,Uruguay,13352,0.5789915092121031
2023-01-13,Venezuela,14152,0.6056366194177502
2023-01-14,Argentina,46185,0.5601582353794522
2023-01-14,Bolivia,703,0.6159075917496444
2023-01-14,Brazil,280481,0.5493562091335955
2023-01-14,Chile,13141,0.5895445790274713
2023-01-14,Colombia,77370,0.5733205240274007
2023-01-14,Ecuador,11365,0.5876230137263527
2023-01-14,Paraguay,3916,0.5857220132788559
2023-01-14,Peru,9808,0.5710109949021207
2023-01-14,Uruguay,6665,0.5914605092273069
2023-01-14,Venezuela,16595,0.6465572787586622
2023-01-15,Argentina,87510,0.5741847840932466
2023-01-15,Bolivia,1338,0.5721788946188341
2023-01-15,Brazil,441217,0.5455729135142119
2023-01-15,Chile,18250,0.5971634500273972
2023-01-15,Colombia,125516,0.5653605551802161
2023-01-15,Ecuador,11131,0.5965641881232594
2023-01-15,Paraguay,9094,0.5675548039366616
2023-01-15,Peru,11611,0.5793639036258722
2023-01-15,Uruguay,9076,0.5779791957910974
2023-01-15,Venezuela,47578,0.6245543059817563
2023-01-16,Argentina,152263,0.5591550705949574
2023-01-16,Bolivia,987,0.5753068247213781
2023-01-16,Brazil,319709,0.5379524922914275
2023-01-16,Chile,23202,0.5978564232824757
2023-01-16,Colombia,44400,0.5182090386486486
2023-01-16,Ecuador,5571,0.6093057291330104
2023-01-16,Paraguay,10221,0.5826573629781822
2023-01-16,Peru,6513,0.5764216672808229
2023-01-16,Uruguay,9781,0.5789388129025662
2023-01-16,Venezuela,10711,0.6332533094015498
2023-01-17,Argentina,156975,0.5632810447013855
2023-01-17,Bolivia,1755,0.582152113960114
2023-01-17,Brazil,899144,0.5527338694391555
2023-01-17,Chile,51950,0.6312401269874879
2023-01-17,Colombia,159708,0.5598195984672026
2023-01-17,Ecuador,15252,0.6105529402701285
2023-01-17,Paraguay,15072,0.5653941173036093
2023-01-17,Peru,30609,0.640728127250155
2023-01-17,Uruguay,11640,0.5695080616838488
2023-01-17,Venezuela,57471,0.6340214720293713
2023-01-18,Argentina,123232,0.5671663450564789
2023-01-18,Bolivia,1463,0.6209101380724539
2023-01-18,Brazil,512509,0.5365334534652074
2023-01-18,Chile,17995,0.5933504016671297
2023-01-18,Colombia,91824,0.5773376149481617
2023-01-18,Ecuador,12374,0.6237429217714562
2023-01-18,Paraguay,10065,0.5780223535022355
2023-01-18,Peru,21547,0.5832924995591033
2023-01-18,Uruguay,10375,0.5621152361445783
2023-01-18,Venezuela,40679,0.6337228362299958
2023-01-19,Argentina,224948,0.5528844236001209
2023-01-19,Bolivia,2931,0.5731956867963153
2023-01-19,Brazil,1029889,0.5415237392621924
2023-01-19,Chile,26176,0.598833085612775
2023-01-19,Colombia,180268,0.5747950377992767
2023-01-19,Ecuador,20086,0.6061626113711043
2023-01-19,Paraguay,18919,0.5805351018552777
2023-01-19,Peru,44592,0.5620021672721566
2023-01-19,Uruguay,14427,0.5719847166424066
2023-01-19,Venezuela,63512,0.6170488403923667
2023-01-20,Argentina,120577,0.5487798097978884
2023-01-20,Bolivia,2028,0.593734115877712
2023-01-20,Brazil,788199,0.5525602952794916
2023-01-20,Chile,19665,0.6111689312992628
2023-01-20,Colombia,218060,0.5628280880675043
2023-01-20,Ecuador,36669,0.5605801915514468
2023-01-20,Paraguay,11896,0.5983097184767989
2023-01-20,Peru,37221,0.5511645771204428
2023-01-20,Uruguay,10661,0.5761940445549198
2023-01-20,Venezuela,67931,0.6165680602964774
2023-01-21,Argentina,46870,0.5636387525496054
2023-01-21,Bolivia,737,0.5896523500678427
2023-01-21,Brazil,206550,0.5509884585088356
2023-01-21,Chile,13971,0.6049322841600459
2023-01-21,Colombia,27557,0.5814994245745183
2023-01-21,Ecuador,4693,0.6072581515022374
2023-01-21,Paraguay,4756,0.5919115483599664
2023-01-21,Peru,9279,0.5638944088802672
2023-01-21,Uruguay,6537,0.5692431864769771
2023-01-21,Venezuela,11322,0.6380377326444091
